Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Харченко;Лариса;Яринаівна;Жіноча;1971-02-09;Кур'єр;місто Білгород-Дністровський;узвіз Монгольська, буд. 6 кв. 7, Васильків, 21428;020 683-90-16;irvanetsdan@example.net
Бебешко;Георгій;Тимофійович;Чоловіча;1985-01-09;Каскадер;місто Калуш;вулиця Поштовий, буд. 6, Кагарлик, 47404;027 528-54-47;dbabii@example.net
Перебийніс;Богданна;Розаліяівна;Жіноча;1967-09-30;Флорист;селище Деражня;сквер Пересипський міст, буд. 17, Горлівка, 95834;056 785 67 10;chodunok@example.com
Бабій;Віолетта;Тетянаівна;Жіноча;1974-11-06;Бухгалтер;селище Липовець;сквер Проектна 1-ша, буд. 8 кв. 98, Українка , 35111;082 551 21 39;venedykt03@example.com
Александренко;Анжела;Іренаівна;Жіноча;1972-11-02;Інженер;хутір Мелітополь;площа Володимира Хавкіна, буд. 575 кв. 8, Сокиряни, 90914;+380 63 835-98-71;leonidvlasiuk@example.net
Швачка;Анастасія;Марусяівна;Жіноча;1990-03-17;Бібліотекар;місто Селидове;узвіз Студентський 3-й, буд. 4 кв. 964, Верхньодніпровськ, 14966;+380 (05) 412-67-66;leonid56@example.com
Харченко;Феофан;Ігнатович;Чоловіча;1964-12-23;Конструктор;місто Сокиряни;сквер Мирна, буд. 6, Узин, 40095;+380 (84) 076-76-95;ppalii@example.com
Деревʼянко;Спас;Вікторович;Чоловіча;1988-04-28;Бізнесмен;село Рава-Руська;шосе 10-та Лінія Марії Демченко, буд. 31 кв. 4, Хрестівка, 69329;128 32 56;varvarashcherbak@example.com
Орлик;Пантелеймон;Прохірович;Чоловіча;1991-10-21;Слідчий;село Новоазовськ;провулок Лиманна, буд. 2 кв. 243, Сімферополь, 27622;+380 68 342-94-72;orubets@example.net
Скирда;Еріка;Розаліяівна;Жіноча;1990-07-05;Продюсер;місто Сніжне;узвіз Марії Демченко 2-й, буд. 7 кв. 08, Ворожба, 79718;+380 09 436-41-08;ievavertyporokh@example.com
Бебешко;Ярема;Леонтійович;Чоловіча;1994-02-05;Нотаріус;селище Тячів;набережна Сабанський, буд. 2, Белз, 31153;+380 99 924-68-64;myronzharko@example.org
Гречко;Опанас;Левкоович;Чоловіча;1993-09-11;Сценарист;хутір Івано-Франківськ;площа Пересипський узвіз, буд. 123, Голубівка, 07741;+380 (92) 928-13-11;emiliiaandriievych@example.net
Перебийніс;Вікторія;Юстинаівна;Жіноча;1963-11-09;Бібліограф;село Шепетівка;сквер Лучиста, буд. 841, Бориспіль, 12089;+380 59 081-92-43;deinekaoleh@example.com
Лагода;Богуслава;Даринаівна;Жіноча;1976-02-05;Електротехнік;хутір Могилів-Подільський;парк Ветеранів праці, буд. 05 кв. 38, Алчевськ, 84360;+380 06 147-10-80;sbakumenko@example.net
Жаліло;Прохір;Максимович;Чоловіча;1947-09-11;Палеонтолог;село Золочів;вулиця Новосельского, буд. 5 кв. 635, Чигирин, 36041;054 845 61 31;iurchyshyndan@example.net
Черінько;Леонтій;Остапович;Чоловіча;1996-04-11;Живописець;селище Чорнобиль;вулиця Чумацька, буд. 2 кв. 8, Конотоп, 99824;+380 (82) 356-37-06;iaroslava34@example.org
Семенченко;Аврелій;Адамович;Чоловіча;1957-04-10;Ґрунтознавець;хутір Мар'їнка;вулиця Вишневий, буд. 6, Олевськ, 48381;+380 18 186-08-33;adubas@example.org
Стус;Феофан;Хомаович;Чоловіча;1960-12-11;Краєзнавець;селище Бердичів;парк Курортний, буд. 062, Авдіївка, 56282;+380 81 261-09-71;iefremprotsenko@example.com
Василевич;Марʼяна;Валентинаівна;Жіноча;1971-12-20;Художник;хутір Коростишів;узвіз Пассіонарії, буд. 48 кв. 95, Родинське, 96831;021 829 48 72;lazarenkoparmen@example.com
Лупій;Віолетта;Святославаівна;Жіноча;1987-02-04;Фермер;місто Кагарлик;вулиця Венгера, буд. 181 кв. 785, Марганець , 38135;+380 24 538-25-32;myroslavperebyinis@example.org
Гаврилів;Мілена;Лізаівна;Жіноча;1942-05-23;Геофізик;селище Верхівцеве;площа Донцова Дмитра, буд. 951, Харків, 75667;905 81 02;alina60@example.org
Микитюк;Емілія;Адаівна;Жіноча;1980-06-12;Фотограф;хутір Щастя ;вулиця Мала, буд. 74 кв. 10, Золотоноша, 01958;077 005 10 62;idemianiuk@example.org
Бабʼюк;Миколай;Тимофійович;Чоловіча;1953-08-20;Доцент;селище Остер ;провулок Жасминна, буд. 7, Вишгород, 44220;+380 74 868-67-04;rozaliia27@example.net
Сірко;Емілія;Ларисаівна;Жіноча;1968-12-27;Нотаріус;хутір Антрацит ;проспект Наявний 4-й, буд. 733 кв. 42, Кам'янець-Подільський, 61196;192-08-62;orkhyp65@example.net
Гайдамака;Ілля;Едуардович;Чоловіча;2004-04-09;Підприємець;селище Конотоп;вулиця Китобійна, буд. 087 кв. 63, Бучач, 06526;+380 24 035-41-30;fvyshniak@example.net
Матяш;Ігор;Трохимович;Чоловіча;2000-12-23;Реставратор;місто Білицьке;провулок Баркасний, буд. 777, Балта, 36157;036 047-19-41;marusialahoda@example.org
Гаврюшенко;Микита;Юстимович;Чоловіча;1954-01-28;Дантист;місто Бурштин ;узвіз Будівельний, буд. 52 кв. 5, Костянтинівка, 06598;+380 (07) 771-84-28;olhamatiash@example.com
Семенченко;Ярослав;Демʼянович;Чоловіча;1964-02-09;Публіцист;місто Кременець;проспект Літній, буд. 29 кв. 17, Сулимівка (Слов'янськ), 20156;966 87 73;drozdenkotrokhym@example.org
Овсієнко;Пантелеймон;Яремаович;Чоловіча;1980-12-26;Складальник;селище Лебедин;шосе Кострова, буд. 266 кв. 0, Ківерці, 03829;384-54-02;ivanbaklan@example.com
Артюх;Опанас;Ростиславович;Чоловіча;1963-09-22;Бухгалтер;село Феодосія;набережна Спартаківська, буд. 06 кв. 51, Біла Церква, 50552;339-62-96;gmykytiuk@example.org
Валенко;Гордій;Онисимович;Чоловіча;1958-09-29;Доцент;місто Енергодар;сквер Чайковського, буд. 604, Добромиль, 95498;+380 90 849-13-97;kyrylozakharchenko@example.net
Артюшенко;Роман;Артемович;Чоловіча;1990-10-29;Стиліст;хутір Керч;узвіз Сільськогосподарський, буд. 916, Білогірськ, 14900;333-45-63;ustenkohanna@example.net
Швайка;Оксенія;Оксанаівна;Жіноча;1987-09-20;Гірник;село Тернівка ;парк Волоколамська, буд. 7, Новий Розділ, 97765;+380 38 981-84-49;albert00@example.net
Лупій;Надія;Роксоланаівна;Жіноча;1966-01-03;Паблік рилейшнз;селище Харків;провулок Бреуса, буд. 8 кв. 38, Васильків, 51277;+380 82 253 07 58;valentyn36@example.com
Артеменко;Клавдія;Лізаівна;Жіноча;1938-05-02;Швачка;хутір Новгород-Сіверський;шосе Тещин міст, буд. 1, Васильків, 98942;548 90 36;iustym21@example.org
Якимчук;Варфоломій;Остапович;Чоловіча;1989-11-20;Каскадер;селище Щолкіне;набережна Академічний, буд. 41, Косів, 04554;+380 (27) 545-34-52;oksanalevchenko@example.net
Давимука;Остап;Ігнатович;Чоловіча;1997-08-30;Випробувач;село Узин;сквер Чорноморка, буд. 111 кв. 83, Кам'янка-Дніпровська, 08922;019 148 43 45;lizavashchenko-zakharchenko@example.net
Гоголь-Яновська;Лукʼян;Ігнатович;Чоловіча;1974-08-01;Соціолог;село Долина ;проспект Преображенська, буд. 690 кв. 38, Білицьке, 43999;040 391 19 37;ihuzii@example.org
Дутка;Ганна;Іренаівна;Жіноча;1989-06-03;Геолог;село Пологи ;провулок 21-й км Старокиївської дороги, буд. 3 кв. 700, Ізмаїл, 10101;913 97 94;dkorolenko@example.com
Теличенко;Феофан;Михайлоович;Чоловіча;1976-08-07;Фармацевт;селище Київ;проспект Лузанівка, буд. 49 кв. 823, Белз, 09432;000-40-71;stefan59@example.com
Кармалюк;Маруся;Ольгаівна;Жіноча;1978-11-13;Кінолог;село Заставна;вулиця Олександра Невського 1-й, буд. 75, Чугуїв, 29792;489-65-79;trokhym87@example.org
Дурдинець;Златослава;Терезаівна;Жіноча;1996-03-22;Продюсер;місто Міусинськ;вулиця Більшовицький, буд. 546 кв. 99, Новомосковськ, 84958;739 04 07;sofiiatovstolis@example.net
Журавель;Мілена;Ярославаівна;Жіноча;2005-10-27;Няня;селище Самбір;узвіз Баркасний, буд. 31, Фастів, 56848;051 414-90-05;irynaonishchuk@example.org
Скопенко;Ілля;Максимович;Чоловіча;1988-08-16;Геофізик;хутір Борщів;вулиця Лиманчик 2-й Лінія 8-ма, буд. 7, Кілія, 46889;+380 12 058-27-99;sierchenko@example.org
Овчаренко;Лариса;Аллаівна;Жіноча;1962-09-09;Етнограф;селище Коростень;узвіз Миколи Боровського, буд. 1 кв. 2, Костопіль, 98586;+380 48 138-86-41;irena08@example.com
Гаврилів;Борислав;Глібович;Чоловіча;1985-08-03;Архітектор;хутір Новогродівка;шосе Шебелінський, буд. 399, Золоте, 70539;007 026-50-83;slubenets@example.com
Давимука;Марта;Людмилаівна;Жіноча;1961-12-22;Бухгалтер;село Маріуполь;узвіз Першотравневий 1-й, буд. 472, Слов'янськ, 25637;173 69 58;gieroshenko@example.com
Шахрай;Венедикт;Аврелійович;Чоловіча;1993-08-06;Стоматолог;село Полтава;площа Ярморочна площа, буд. 276, Семенівка, 24790;+380 08 393-35-12;masliakaaron@example.org
Левченко;Віталій;Андрійович;Чоловіча;2005-12-17;Реабілітолог;село Березівка;провулок Лодочний, буд. 425 кв. 5, Погребище, 77861;090 132-14-16;bohdanna05@example.com
Андрієвич;Христина;Каміллаівна;Жіноча;1952-09-14;Електромонтажник;селище Новомиргород;проспект Середньофонтанський, буд. 4, Шпола, 32938;875-70-96;kchalenko@example.com
Артимович;Олекса;Орестович;Чоловіча;1985-05-18;Реабілітолог;хутір Бердичів;сквер Сільськогосподарський, буд. 412, Батурин, 11843;004 051-77-51;bohodarhodunok@example.net
Шеремет;Аніта;Даринаівна;Жіноча;1980-07-10;Інженер;село Устилуг;проспект Куликове поле, буд. 409, Стрий, 23630;+380 15 342-41-19;lespetliura@example.com
Ващенко-Захарченко;Августин;Аркадійович;Чоловіча;1997-10-03;Публіцист;хутір Горохів;набережна Лінія 23-тя, буд. 883 кв. 800, Шаргород, 90541;+380 98 354 50 87;mishchenkostefan@example.net
Ванченко;Євген;Арсенович;Чоловіча;1955-08-22;Ґрунтознавець;село Первомайський ;вулиця Творча, буд. 213 кв. 670, Мена , 39099;+380 08 138 16 26;irvanetsalla@example.org
Франко;Марко;Тарасович;Чоловіча;1992-09-11;Паралегал;місто Коростень;проспект Чорноморський 6-й, буд. 209 кв. 5, Южноукраїнськ, 81594;007 517-53-65;alla57@example.com
Тарасенко;Георгій;Францович;Чоловіча;1966-01-09;Детектив;місто Глухів;вулиця Десятого квітня, буд. 27 кв. 2, Судак , 66214;+380 35 366-96-36;orysiahrechanyk@example.net
Михалюк;Христина;Альбінаівна;Жіноча;1983-10-28;Біолог;селище Волноваха;проспект Уральський, буд. 12 кв. 2, Мала Виска, 20938;+380 45 394 88 53;xtsushko@example.com
Андрієнко;Еріка;Надіяівна;Жіноча;1992-10-24;Реставратор;хутір Устилуг;площа Гвоздична, буд. 5 кв. 4, Гайсин, 69485;569-49-63;eduard79@example.com
Козак;Захар;Панасович;Чоловіча;1954-12-04;Машиніст;хутір Мерефа;вулиця Тульська, буд. 56 кв. 5, Красноперекопськ, 79751;343-29-07;glaba@example.com
Павлик;Алевтин;Зорянович;Чоловіча;1960-08-24;Стропальник;селище Алупка;вулиця Лузанівська, буд. 66, Скалат, 46705;+380 07 342-86-31;cartym@example.org
Шеремета;Сніжана;Сніжанаівна;Жіноча;2007-05-25;Астронавт;місто Вижниця;набережна Сільськогосподарський, буд. 264, Умань, 78253;+380 52 457 37 04;kharchenkopanteleimon@example.org
Савенко;Данна;Варвараівна;Жіноча;1988-03-02;Журналіст;селище Старобільськ;площа Тепличний 2-й, буд. 326 кв. 4, Ірміно, 32340;517-88-10;kyrylo41@example.net
Дубенко;Клавдія;Марусяівна;Жіноча;2008-02-09;Маркетолог;місто Зміїв;площа Ювілейний 1-й, буд. 24, Тернопіль, 74925;146 25 25;qnestaiko@example.net
Дзюба;Панас;Леонович;Чоловіча;1979-07-02;Архітектор;село Мукачево;вулиця Стовпова, буд. 6 кв. 0, Кам'янець-Подільський, 21868;082 25 38;liliiahavryshkevych@example.net
Скиба;Соломія;Надіяівна;Жіноча;1984-05-19;Художник;селище Самбір;вулиця Смоленська, буд. 8 кв. 1, Решетилівка, 62739;076 921 38 57;darynasirchenko@example.org
Жарко;Віктор;Устимович;Чоловіча;1978-02-15;Секретар;селище Первомайський ;вулиця Гена Іоганна, буд. 72 кв. 47, Українка , 09887;+380 93 986-47-92;anastasiia43@example.org
Базилевська;Орхип;Соломонович;Чоловіча;1973-07-10;Мовознавець;селище Черкаси;провулок Лузанівський, буд. 45 кв. 060, Полтава, 42210;632-07-41;ykorolenko@example.com
Примаченко;Розалія;Людмилаівна;Жіноча;2002-03-03;Громадський діяч;селище Фастів;шосе Весняна, буд. 523, Вовчанськ, 56197;+380 (27) 297-91-79;kolodubles@example.com
Скоробогатько;Аніта;Єваівна;Жіноча;1944-10-29;Мірошник;місто Могилів-Подільський;проспект Стєклова, буд. 07 кв. 6, Чоп, 01835;+380 (63) 537-02-75;panas44@example.com
Петренко;Маруся;Даннаівна;Жіноча;1962-05-23;Археолог;місто Городня;проспект Дальній, буд. 767 кв. 65, Шаргород, 70745;+380 84 782-65-32;vkopytko@example.org
Засуха;Еріка;Оксанаівна;Жіноча;1972-06-21;Художник;місто Білицьке;площа Літній, буд. 0 кв. 573, Могилів-Подільський, 16234;149-74-64;vernydublevko@example.org
Оліфіренко;Костянтин;Омелянович;Чоловіча;1961-12-11;Клавішник;селище Тетіїв;парк 5-та Суворовська, буд. 60, Рені, 40319;+380 70 157 49 30;zhuraveloleksandr@example.org
Дрозденко;Ярослава;Амаліяівна;Жіноча;1979-10-20;Реабілітолог;селище Новий Калинів;провулок Святослава Ріхтера, буд. 913 кв. 560, Путивль, 62631;+380 (86) 790-97-32;myroslavokhrymovych@example.org
Ващенко-Захарченко;Миколай;Устимович;Чоловіча;1962-06-17;Патологоанатом;хутір Снятин;проспект Учительський, буд. 0, Генічеськ, 79354;+380 45 786-10-86;ekolodub@example.com
Забарна;Амвросій;Борисович;Чоловіча;1939-03-08;Електромонтер;місто Косів;сквер Вапняний 3-й, буд. 265, Часів Яр, 93243;+380 53 086 25 14;evovk@example.net
Цюцюра;Костянтин;Онисимович;Чоловіча;1986-11-02;Антрополог;місто Яворів;узвіз ПшеничнаРадищева, буд. 6 кв. 546, Великі Мости, 67020;+380 25 672-47-49;chumachenkoserhii@example.org
Дашенко;Ростислав;Олексаович;Чоловіча;1944-04-29;Детектив;село Канів;набережна Слави, буд. 92, Чистякове, 82610;+380 57 146-52-87;kashchenkostefan@example.net
Шамрай;Аніта;Ерікаівна;Жіноча;1999-12-01;Маркетолог;село Баранівка;сквер Байдарочний, буд. 69 кв. 2, Соснівка , 01152;+380 54 120-59-97;kopytkoomelian@example.net
Ващенко-Захарченко;Ярема;Володимирович;Чоловіча;1982-06-09;Ріелтор;селище Кілія;площа Професора Коровицького, буд. 694, Алмазна, 35973;030 473-60-51;vira68@example.net
Засуха;Варвара;Одаркаівна;Жіноча;1961-04-11;Акушер;село Глиняни;набережна Чорноморський 6-й, буд. 95 кв. 840, Кагарлик, 91409;712 98 92;dbabiuk@example.org
Забара;Аркадій;Францович;Чоловіча;1976-07-25;Редактор;місто Кагарлик;узвіз Мічманський 2-й, буд. 2 кв. 4, Рудки, 34443;+380 64 602 12 98;verestrokhym@example.net
Дубина;Венедикт;Захарович;Чоловіча;1956-05-15;Випробувач;селище Горлівка;вулиця Демократична, буд. 004 кв. 39, Дубно, 39793;+380 25 950-91-53;derkachalbert@example.com
Коваленко;Богданна;Єлисаветаівна;Жіноча;1950-03-03;Намотувальник;село Чистякове;сквер Котляревського, буд. 95, Дубно, 72381;156 78 30;makarkhudobiak@example.org
Чубай;Анастасія;Даннаівна;Жіноча;1938-04-14;Епідеміолог;хутір Олександрівськ;набережна Ушинського, буд. 980, Тетіїв, 26702;004 903-66-90;rieshchenko@example.org
Арсенич;Олена;Надіяівна;Жіноча;1961-01-02;Палеонтолог;село Феодосія;вулиця Дмитрія Донського, буд. 9 кв. 75, Ічня, 67643;053 650 61 53;iaremkoanastasiia@example.com
Рак;Еріка;Пріскаівна;Жіноча;1972-12-29;Конструктор;селище Вознесенськ;провулок Елеваторна, буд. 755, Рогатин, 73026;171-74-97;pylypenkoalla@example.com
Таран;Федір;Сергійович;Чоловіча;2002-04-20;Пілот;хутір Соледар;парк Новоберегова, буд. 49 кв. 3, Керч, 55127;468-36-66;heorhii61@example.org
Василечко;Оксана;Оринаівна;Жіноча;1975-05-18;Біолог;хутір Львів;вулиця Сливова, буд. 2 кв. 1, Ківерці, 36394;250-73-07;serhii16@example.com
Затовканюк;Віктор;Павлоович;Чоловіча;1991-05-05;Підприємець;хутір Білогірськ;площа Овідіопольська дорога, буд. 783 кв. 52, Монастирище, 77026;+380 27 747-80-76;darahanruslan@example.org
Рубан;Марта;Ларисаівна;Жіноча;1972-01-20;Водій;хутір Корець;сквер Шептицікого, буд. 23 кв. 525, Дніпро , 90534;113 50 03;vdutka@example.net
Чабан;Максим;Феофанович;Чоловіча;1941-01-25;Мовознавець;селище Таврійськ;шосе Панченка, буд. 16 кв. 216, Лебедин, 77956;332 10 36;bohodar45@example.org
Василечко;Анастасія;Соломіяівна;Жіноча;1939-11-12;Флорист;хутір Городище ;вулиця Деволанівський узвіз, буд. 71 кв. 7, Тячів, 04887;058 436-71-38;olha75@example.net
Козак;Віра;Надіяівна;Жіноча;1942-11-06;Правник;село Дунаївці;провулок Вапняний 2-й, буд. 925 кв. 4, Монастирище, 83461;+380 (02) 100-14-62;lkomar@example.org
Савенко;Юстина;Галинаівна;Жіноча;2008-03-01;Доцент;хутір Макіївка;площа Черешнева, буд. 8, Бар, 24578;078 28 35;fshvachko@example.net
Шевченко;Ірина;Клавдіяівна;Жіноча;1961-04-28;Біолог;хутір Свалява;парк Чубаївський, буд. 24 кв. 14, Глухів, 58786;109 72 00;kchornovil@example.com
Тарасенко;Валентина;Ерікаівна;Жіноча;1958-06-12;Каскадер;селище Рені;сквер Прохоровський, буд. 3 кв. 7, Олевськ, 25398;+380 (59) 209-20-17;roksolana65@example.net
Демʼянюк;Сергій;Олексаович;Чоловіча;1960-07-31;Електрослюсар;хутір Зборів;площа Кримська, буд. 9 кв. 300, Бобровиця, 11590;+380 39 789-42-58;vlasiuksviatoslav@example.com
Масляк;Михайлина;Орисяівна;Жіноча;1952-02-19;Провізор;місто Заставна;шосе Вертелецького, буд. 95 кв. 0, Сновськ, 13420;+380 (39) 654-20-77;hermanabrahamovska@example.org
Калениченко;Гордій;Захарович;Чоловіча;2000-11-19;Хімік;село Городок;вулиця Бородінська, буд. 5, Могилів-Подільський, 31079;038 723 49 52;stanislavtkachenko@example.org
Засенко;Святослав;Олександрович;Чоловіча;1998-05-19;Гицель;селище Бібрка;сквер Кавказький, буд. 46 кв. 03, Хрестівка, 58058;+380 92 889-10-29;alla37@example.org
Бездітко;Лілія;Ерікаівна;Жіноча;1984-04-23;Агроном;місто Горлівка;узвіз Краснослобідський, буд. 6 кв. 7, Роздільна, 44980;209-06-61;ieva87@example.net
Андріїшин;Вікторія;Ерікаівна;Жіноча;1984-04-12;Фізик;місто Мирноград;парк Разумовська, буд. 190 кв. 147, Тульчин, 38932;+380 08 273-54-38;ielysavetababychenko@example.org
Вовк;Мирон;Кирилоович;Чоловіча;1986-08-29;Детектив;місто Кодима;провулок Водопровідний 3-й, буд. 09, Ворожба, 22495;013 665 89 38;nestorlesyk@example.com
Пушкар;Опанас;Феофанович;Чоловіча;2004-10-16;Швачка;селище Гадяч;набережна Хутірський, буд. 61, Павлоград, 54590;973-51-24;iashchenkoviktoriia@example.net
Гаврилишин;Олег;Яківович;Чоловіча;1999-08-23;Єгер;селище Андрушівка;площа Косовська, буд. 17, Красногорівка, 52674;081 172-13-84;ihorsomko@example.net
Даньків;Георгій;Орестович;Чоловіча;1947-04-15;Стропальник;селище Павлоград;сквер Косовський, буд. 35 кв. 27, Токмак, 83027;+380 58 160 87 23;dnosachenko@example.com
Романенко;Валентин;Августинович;Чоловіча;1964-07-10;Прокурор;село Канів;вулиця Миколи Боровського, буд. 0 кв. 94, Шпола, 98554;+380 29 493-94-42;myron80@example.org
Мамчур;Лілія;Маріяівна;Жіноча;2007-10-13;Професор;село Новодністровськ;проспект Планетна, буд. 6, Яготин, 93752;031 433 76 09;ishylo@example.org
Оробець;Гаврило;Зорянович;Чоловіча;1959-06-21;Скульптор;село Зміїв;провулок Кипарисний 3-й, буд. 379, Жашків, 45657;038 884-19-33;holykaaron@example.org
Лубенець;Ада;Соломіяівна;Жіноча;1946-11-14;Мінералог;селище Могилів-Подільський;провулок Гагаріна, буд. 80 кв. 561, Бурштин , 16412;+380 71 609 01 16;danylchukfeofan@example.org
Шаповал;Ірена;Оксеніяівна;Жіноча;2004-12-31;Фотограф;село Лубни;набережна Леха Качинського, буд. 86, Самбір, 70795;+380 (77) 335-57-26;okhrim56@example.com
Петренко;Охрім;Богуславович;Чоловіча;1968-04-24;Складальник;село Баштанка;парк Балтський 1-й, буд. 78, Тернопіль, 70630;+380 25 222-30-93;cilienko@example.org
Рак;Марʼяна;Любовівна;Жіноча;2008-07-13;Психолог;село Тернівка ;проспект Луценка Івана, буд. 4, Кобеляки, 50533;+380 26 918-95-14;ihunko@example.com
Прокопович;Устим;Мартинович;Чоловіча;1994-12-15;Каскадер;місто Яготин;узвіз Обільний 2-й, буд. 5 кв. 8, Торецьк, 46838;595 84 71;gerussvitlana@example.com
Дубина;Степан;Аврелійович;Чоловіча;1969-06-05;Електромонтажник;хутір Білицьке;сквер 1-й Академічний тупик, буд. 2, Мостиська, 47354;097-73-93;vasylpylypenko@example.com
Корсун;Дан;Максимович;Чоловіча;1961-12-02;Кінокритик;селище Стебник;набережна Весела, буд. 854, Косів, 25093;+380 56 405-82-49;rzasenko@example.com
Івасюк;Варфоломій;Остапович;Чоловіча;1994-08-02;Секретар;місто Глобине;площа Тульська, буд. 60 кв. 64, Кролевець, 51731;840 65 23;bhavrysh@example.net
Забіла;Василина;Пріскаівна;Жіноча;1941-12-15;Секретар;селище Трускавець;парк Чернишевського, буд. 922 кв. 14, Мирноград, 51223;058 656-94-64;hzarudna@example.net
Дрозд;Анастасія;Іренаівна;Жіноча;1951-09-12;Стропальник;село Молочанськ;узвіз Новомосковська дорога, буд. 350 кв. 1, Зборів, 18297;084 410-05-08;bpoltavets@example.org
Ємельяненко;Златослава;Анітаівна;Жіноча;1998-02-24;Шериф;місто Шаргород;провулок Проектний 5-й, буд. 440, Тернівка , 99711;049 858 56 94;bairaktaras@example.org
Гаєвський;Геннадій;Леопольдович;Чоловіча;1993-04-05;Ювелір;хутір Снятин;площа Сортувальна 1-ша, буд. 0 кв. 643, Запоріжжя, 38267;025 715-35-67;bohodar62@example.org
Жук;Лілія;Аллаівна;Жіноча;1978-05-20;Машиніст;хутір Молодогвардійськ;набережна Тимірязєва 5-й, буд. 173 кв. 25, Сквира, 65056;033 427-30-30;martyn83@example.com
Єщенко;Спас;Яківович;Чоловіча;1972-07-18;Драматург;село Славута;вулиця Балтський 5-й, буд. 83, Попасна, 46089;+380 86 847-47-70;borysromanets@example.com
Єрьоменко;Альберт;Олегович;Чоловіча;1950-05-13;Фармацевт;місто Сніжне;проспект Володимира Хавкіна, буд. 323 кв. 430, Бахмач, 94757;+380 83 863 36 05;jonyshchenko@example.org
Ярема;Остап;Геннадійович;Чоловіча;1951-05-31;Кінокритик;хутір Нове Давидково;проспект Восьмого Березня Лінія 1-ша, буд. 558, Здолбунів, 76381;+380 28 206-14-23;tereza95@example.net
Хоменко;Валентина;Світланаівна;Жіноча;1952-05-15;Кушнір;село Калуш;парк Херсонський сквер, буд. 8 кв. 4, Прип'ять , 46934;073 437 28 20;demianizhakevych@example.com
Артеменко;Ярина;Соломіяівна;Жіноча;1998-02-20;Скульптор;хутір Житомир;набережна Шишкіна 2-й, буд. 424, Соснівка , 56166;+380 45 652 84 79;vasyl72@example.com
Перепелиця;Алевтин;Юстимович;Чоловіча;1957-04-28;Журналіст;село Переяслав;парк Львівський, буд. 815 кв. 2, Генічеськ, 73597;766-14-63;rozaliia71@example.com
Сіробаба;Одарка;Надіяівна;Жіноча;1986-01-08;Дантист;хутір Хотин;шосе Грузинська, буд. 6, Куп'янськ, 80122;+380 (36) 697-44-96;kchekaliuk@example.net
Ляшко;Ярина;Амаліяівна;Жіноча;1946-04-23;Дерун;хутір Берестечко;провулок Трудова, буд. 4 кв. 1, Ялта, 53414;+380 92 511-68-41;vitalii67@example.net
Лисенко;Ігнат;Ростиславович;Чоловіча;1987-01-17;Різноробочий;хутір Ровеньки;набережна Курортний 6-й, буд. 7 кв. 28, Кипуче, 19990;+380 (12) 424-02-13;andriienkodavyd@example.com
Шинкаренко;Василь;Іванович;Чоловіча;1968-03-04;Географ;хутір Старокостянтинів;узвіз Строганова, буд. 090 кв. 002, Бердянськ, 91329;008 866-64-67;rozaliia95@example.com
Ґереґа;Аврелій;Олександрович;Чоловіча;1943-02-27;Музикант;хутір Новомиргород;сквер Амурський 3-й, буд. 621, Самбір, 58785;+380 18 846 04 59;solomon45@example.com
Бакуменко;Юхим;Петроович;Чоловіча;2005-12-08;Публіцист;хутір Тараща;вулиця Житомирська, буд. 448 кв. 98, П'ятихатки, 33031;+380 43 135-51-57;akolodub@example.net
Лубенець;Пантелеймон;Вікторович;Чоловіча;1958-08-16;Локсмайстер;село Довжанськ;набережна Виставочна, буд. 8, Здолбунів, 01914;+380 64 867 10 73;bohuslav41@example.com
Бабʼяк;Пантелеймон;Орестович;Чоловіча;2004-11-28;Дипломат;хутір Лутугине;парк Лядова, буд. 01 кв. 6, Монастириська, 93048;+380 85 977-84-56;pchubai@example.net
Червоненко;Варвара;Тетянаівна;Жіноча;2000-05-18;Агроном;місто Алупка;проспект Безіменний, буд. 5, Чортків, 49093;+380 (76) 790-21-79;oksanakarpenko@example.net
Міщенко;Гаврило;Валерійович;Чоловіча;1971-04-14;М'ясник;селище Ананьїв;площа Десятого квітня, буд. 372 кв. 115, Нова Одеса, 68323;+380 23 251 61 74;dankivamvrosii@example.net
Корж;Адам;Вʼячеславович;Чоловіча;1949-10-29;Астронавт;місто Первомайський ;шосе Орловська, буд. 1 кв. 6, Скалат, 77240;032 22 66;iustym19@example.net
Лупій;Амалія;Лізаівна;Жіноча;1945-04-18;Модель;хутір Новий Буг;шосе Джерельна, буд. 41 кв. 276, Гірське, 53161;089 841 51 20;iaremkosymon@example.org
Микитюк;Борислав;Олесьович;Чоловіча;1978-08-21;Мірошник;селище Чистякове;площа Висока, буд. 495, Белз, 13252;+380 60 432-00-14;olenateslia@example.org
Онуфрієнко;Єва;Ліліяівна;Жіноча;1973-03-06;Кур'єр;село Бровари;провулок Марата 2-й, буд. 63, Гірське, 96275;130 99 69;rudkoviktor@example.com
Арсенич;Віолетта;Амаліяівна;Жіноча;1959-10-30;Няня;село Кипуче;набережна Весела, буд. 28, Кролевець, 59109;069 453-49-75;tychynamykolai@example.net
Гаврилюк;Пріска;Віраівна;Жіноча;2000-06-13;Кухар;хутір Ірпінь;площа Дзвінка, буд. 7 кв. 120, Пустомити, 12130;+380 75 239-68-34;viktoriia95@example.net
